NIM,Nama,Nilai
A170,Mahasiswa170,87
A171,Mahasiswa171,75
A172,Mahasiswa172,94
A173,Mahasiswa173,68
A174,Mahasiswa174,82
A175,Mahasiswa175,77
A176,Mahasiswa176,90
A177,Mahasiswa177,71
A178,Mahasiswa178,89
A179,Mahasiswa179,73
A180,Mahasiswa180,92
A181,Mahasiswa181,66
A182,Mahasiswa182,84
A183,Mahasiswa183,78
A184,Mahasiswa184,95
A185,Mahasiswa185,70
A186,Mahasiswa186,86
A187,Mahasiswa187,74
A188,Mahasiswa188,91
A189,Mahasiswa189,69
A190,Mahasiswa190,88
A191,Mahasiswa191,76
A192,Mahasiswa192,93
A193,Mahasiswa193,72
A194,Mahasiswa194,85
A195,Mahasiswa195,79
A196,Mahasiswa196,94
A197,Mahasiswa197,67
A198,Mahasiswa198,83
A199,Mahasiswa199,75
A200,Mahasiswa200,90
